"0805.2150","Victor Galitski","Tudor D. Stanescu, Victor Galitski and S. Das Sarma","Orbital fluctuation mechanism for superconductivity in iron-based
  compounds","expanded version, 9+ pages, 6 color figures","Phys. Rev. B 78, 195114 (2008).","10.1103/PhysRevB.78.195114",,"cond-mat.supr-con cond-mat.str-el","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We propose orbital fluctuations in a multi-band ground state as the
superconducting pairing mechanism in the new iron-based materials. We develop a
general SU(4) theoretical framework for studying a two-orbital model and
discuss a number of scenarios that may be operational within this orbital
fluctuation paradigm. The orbital and spin symmetry of the superconducting
order parameter is argued to be highly non-universal and dependent on the
details of the underlying band structure. We introduce a minimal two-orbital
model for the Fe-pnictides characterized by non-degenerate orbitals that
strongly mix with each other. They correspond to the iron ""d_xy"" orbital and to
an effective combination of ""d_zx"" and ""d_zy"", respectively. Using this
effective model we perform RPA calculations of susceptibilities and effective
pairing interactions. We find that spin and orbital fluctuations are,
generally, strongly coupled and we identify the parameters that control this
coupling as well as the relative strength of various channels.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 18:29:12 GMT""},{""version"":""v2"",""created"":""Fri, 17 Oct 2008 22:19:13 GMT""}]","2008-11-18"
"0805.2418","Pavel Machalek","Pavel Machalek, Peter R. McCullough, Christopher J. Burke, Jeff A.
  Valenti, Adam Burrows, Joseph L. Hora","Thermal Emission of Exoplanet XO-1b","7 pages, 4 figures, 2 tables, accepted for publication to ApJ","2008ApJ...684.1427M","10.1086/590140",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We estimate flux ratios of the extrasolar planet XO-1b to its host star XO-1
at 3.6, 4.5, 5.8 and 8.0 microns with the IRAC on the Spitzer Space Telescope
to be 0.00086 +/- 0.00007, 0.00122 +/- 0.00009, 0.00261 +/- 0.00031 and 0.00210
+/- 0.00029, respectively. The fluxes are inconsistent with a canonical
cloudless model for the thermal emission from a planet and suggest an
atmosphere with a thermal inversion layer and a possible stratospheric
absorber. A newly emerging correlation between the presence of a thermal
inversion layer in the planetary atmosphere and stellar insolation of the
planet (Burrows et al. 2007b) is refined. The sub-stellar point flux from the
parent star at XO-1b of ~ 0.49 x 10^9 erg cm^-2 s^-1 sets a new lower limit for
the occurrence of a thermal inversion in a planetary atmosphere.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 04:04:22 GMT""}]","2008-09-10"
"0805.2419","Kaushik Mitra","Kaushik Mitra, C. J. Lobb, and C. A. R. S\'a de Melo","Spectral densities of superconducting qubits with environmental
  resonances","2 pages, 3 figures",,,,"cond-mat.supr-con","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper we derive the environmental spectral density for flux, phase
and charge qubits when each of them is coupled to an environment with a
resonance. From the spectral density we obtain the characteristic spontaneous
emission (relaxation) lifetimes $T_1$ for each of these qubits, and show that
there is a substantial enhancement of $T_1$ beyond the resonant frequency of
the environment.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 22:43:29 GMT""}]","2008-05-19"
"0805.2420","Marcelo Ponce C.","Marcelo Ponce, C. Masoller, Arturo C. Marti","Synchronizability of chaotic logistic maps in delayed complex networks","Submitted to ""The European Physical Journal B"" (EPJ B)","Eur. Phys. J. B 67, 83-93 (2009)","10.1140/epjb/e2008-00467-3",,"nlin.CD","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study a network of coupled logistic maps whose interactions occur with a
certain distribution of delay times. The local dynamics is chaotic in the
absence of coupling and thus the network is a paradigm of a complex system.
There are two regimes of synchronization, depending on the distribution of
delays: when the delays are sufficiently heterogeneous the network synchronizes
on a steady-state (that is unstable for the uncoupled maps); when the delays
are homogeneous, it synchronizes in a time-dependent state (that is either
periodic or chaotic). Using two global indicators we quantify the
synchronizability on the two regimes, focusing on the roles of the network
connectivity and the topology. The connectivity is measured in terms of the
average number of links per node, and we consider various topologies
(scale-free, small-world, star, and nearest-neighbor with and without a central
hub). With weak connectivity and weak coupling strength, the network displays
an irregular oscillatory dynamics that is largely independent of the topology
and of the delay distribution. With heterogeneous delays, we find a threshold
connectivity level below which the network does not synchronize, regardless of
the network size. This minimum average number of neighbors seems to be
independent of the delay distribution. We also analyze the effect of
self-feedback loops and find that they have an impact on the synchronizability
of small networks with large coupling strengths. The influence of feedback,
enhancing or degrading synchronization, depends on the topology and on the
distribution of delays.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 22:50:27 GMT""},{""version"":""v2"",""created"":""Fri, 26 Sep 2008 14:46:19 GMT""}]","2009-02-03"
"0805.2421","Martin Gairing","Martin Gairing","Malicious Bayesian Congestion Games","18 pages, submitted to WAOA'08",,,,"cs.GT cs.CC","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper, we introduce malicious Bayesian congestion games as an
extension to congestion games where players might act in a malicious way. In
such a game each player has two types. Either the player is a rational player
seeking to minimize her own delay, or - with a certain probability - the player
is malicious in which case her only goal is to disturb the other players as
much as possible.
  We show that such games do in general not possess a Bayesian Nash equilibrium
in pure strategies (i.e. a pure Bayesian Nash equilibrium). Moreover, given a
game, we show that it is NP-complete to decide whether it admits a pure
Bayesian Nash equilibrium. This result even holds when resource latency
functions are linear, each player is malicious with the same probability, and
all strategy sets consist of singleton sets. For a slightly more restricted
class of malicious Bayesian congestion games, we provide easy checkable
properties that are necessary and sufficient for the existence of a pure
Bayesian Nash equilibrium.
  In the second part of the paper we study the impact of the malicious types on
the overall performance of the system (i.e. the social cost). To measure this
impact, we use the Price of Malice. We provide (tight) bounds on the Price of
Malice for an interesting class of malicious Bayesian congestion games.
Moreover, we show that for certain congestion games the advent of malicious
types can also be beneficial to the system in the sense that the social cost of
the worst case equilibrium decreases. We provide a tight bound on the maximum
factor by which this happens.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 23:00:44 GMT""},{""version"":""v2"",""created"":""Thu, 5 Jun 2008 19:02:21 GMT""}]","2008-06-05"
"0805.2422","Wenwen Jiang","Wenwen Jiang, Jian-Kang Zhang and Kon Max Wong","Transceiver Pair Designs for Multiple Access Channels under Fixed Sum
  Mutual Information using MMSE Decision Feedback Detection",,,,,"cs.IT math.IT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper, we consider the joint design of the transceivers for a
multiple access Multiple Input and Multiple Output (MIMO) system having
Inter-Symbol Interference (ISI) channels. The system we consider is equipped
with the Minimum Mean Square Error (MMSE) Decision-Feedback (DF) detector.
Traditionally, transmitter designs for this system have been based on
constraints of either the transmission power or the
signal-to-interference-and-noise ratio (SINR) for each user. Here, we explore a
novel perspective and examine a transceiver design which is based on a fixed
sum mutual information constraint and minimizes the arithmetic average of mean
square error of MMSE-decision feedback detection. For this optimization
problem, a closed-form solution is obtained and is achieved if and only if the
averaged sum mutual information is uniformly distributed over each active
subchannel. Meanwhile, the mutual information of the currently detected user is
uniformly distributed over each individual symbol within the block signal of
the user, assuming all the previous user signals have been perfectly detected.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 23:05:50 GMT""}]","2008-05-19"
"0805.2423","Pulkit Grover","Pulkit Grover and Anant Sahai","Green Codes: Energy-Efficient Short-Range Communication","Accepted at International Symposium on Information Theory (ISIT) 2008",,,,"cs.IT math.IT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A green code attempts to minimize the total energy per-bit required to
communicate across a noisy channel. The classical information-theoretic
approach neglects the energy expended in processing the data at the encoder and
the decoder and only minimizes the energy required for transmissions. Since
there is no cost associated with using more degrees of freedom, the
traditionally optimal strategy is to communicate at rate zero.
  In this work, we use our recently proposed model for the power consumed by
iterative message passing. Using generalized sphere-packing bounds on the
decoding power, we find lower bounds on the total energy consumed in the
transmissions and the decoding, allowing for freedom in the choice of the rate.
We show that contrary to the classical intuition, the rate for green codes is
bounded away from zero for any given error probability. In fact, as the desired
bit-error probability goes to zero, the optimizing rate for our bounds
converges to 1.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 23:49:27 GMT""}]","2008-05-19"
"0805.2424","Gavril Farkas","Gavril Farkas","The birational type of the moduli space of even spin curves","9 pages. Improved presentation, to appear in Advances in Mathematics","Advances in Mathematics 223 (2010), 433-443",,,"math.AG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We determine the Kodaira dimension of the moduli space of even spin curves
for all genera, with one possible exception: The scheme S_g has negative
Kodaira dimension for g<8 and it is of general type for g>8. The Kodaira
dimension of S_8 is non-negative.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 23:47:05 GMT""},{""version"":""v2"",""created"":""Mon, 17 Aug 2009 14:43:26 GMT""}]","2009-11-27"
"0805.2425","Stephan Tillmann","William Jaco, J. Hyam Rubinstein, Stephan Tillmann","Minimal triangulations for an infinite family of lens spaces","32 pages, 6 figures",,"10.1112/jtopol/jtp004",,"math.GT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The notion of a layered triangulation of a lens space was defined by Jaco and
Rubinstein in earlier work, and, unless the lens space is L(3,1), a layered
triangulation with the minimal number of tetrahedra was shown to be unique and
termed its ""minimal layered triangulation."" This paper proves that for each
integer n>1, the minimal layered triangulation of the lens space L(2n,1) is its
unique minimal triangulation. More generally, the minimal triangulations (and
hence the complexity) are determined for an infinite family of lens spaces
containing the lens spaces L(2n,1).
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 00:26:08 GMT""}]","2014-02-26"
"0805.2426","Greg Doppmann","Greg W. Doppmann, Joan R. Najita, and John S. Carr","Stellar and Circumstellar Properties of the Pre-Main Sequence Binary GV
  Tau from Infrared Spectroscopy","22 pages, 13 figures",,"10.1086/590328",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We report spatially resolved spectroscopy of both components of the low-mass
pre-main-sequence binary GV Tau. High resolution spectroscopy in the K- and
L-bands is used to characterize the stellar properties of the binary and to
explore the nature of the circumstellar environment. We find that the southern
component, GV Tau S, is a radial velocity variable, possibly as a result of an
unseen low-mass companion. The strong warm gaseous HCN absorption reported
previously toward GV Tau S (Gibb et al. 2007) was not present during the epoch
of our observations. Instead, we detect warm (~500 K) molecular absorption with
similar properties toward the northern infrared companion, GV Tau N. At the
epoch of our observations, the absorbing gas toward GV Tau N was approximately
at the radial velocity of the GV Tau molecular envelope, but it was redshifted
with respect to the star by ~13 km/s. One interpretation of our results is that
GV Tau N is also a binary and that most of the warm molecular absorption arises
in a circumbinary disk viewed close to edge-on.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 23:57:48 GMT""}]","2009-11-13"
"0805.2427","Shashi Kiran Chilappagari","Shashi Kiran Chilappagari, Dung Viet Nguyen, Bane Vasic, Michael W.
  Marcellin","On Trapping Sets and Guaranteed Error Correction Capability of LDPC
  Codes and GLDPC Codes","17 pages. Submitted to IEEE Transactions on Information Theory. Parts
  of this work have been accepted for presentation at the International
  Symposium on Information Theory (ISIT'08) and the International Telemetering
  Conference (ITC'08)",,"10.1109/TIT.2010.2040962",,"cs.IT math.IT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The relation between the girth and the guaranteed error correction capability
of $\gamma$-left regular LDPC codes when decoded using the bit flipping (serial
and parallel) algorithms is investigated. A lower bound on the size of variable
node sets which expand by a factor of at least $3 \gamma/4$ is found based on
the Moore bound. An upper bound on the guaranteed error correction capability
is established by studying the sizes of smallest possible trapping sets. The
results are extended to generalized LDPC codes. It is shown that generalized
LDPC codes can correct a linear fraction of errors under the parallel bit
flipping algorithm when the underlying Tanner graph is a good expander. It is
also shown that the bound cannot be improved when $\gamma$ is even by studying
a class of trapping sets. A lower bound on the size of variable node sets which
have the required expansion is established.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 00:50:19 GMT""}]","2016-11-17"
"0805.2428","Lv Jianping","Jian-Ping Lv, Huan Liu and Qing-Hu Chen","Phase transition in site-diluted Josephson junction arrays: A numerical
  study","7 pages, 8 figures, Phys. Rev. B (in press)","Phys. Rev. B 79, 104512 (2009)","10.1103/PhysRevB.79.104512",,"cond-mat.supr-con cond-mat.stat-mech","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We numerically investigate the intriguing effects produced by random
percolative disorder in two-dimensional Josephson-junction arrays. By dynamic
scaling analysis, we evaluate critical temperatures and critical exponents with
high accuracy. It is observed that, with the introduction of site-diluted
disorder, the Kosterlitz-Thouless phase transition is eliminated and evolves
into a continuous transition with power-law divergent correlation length.
Moreover, genuine depinning transition and creep motion are studied, evidence
for distinct creep motion types is provided. Our results not only are in good
agreement with the recent experimental findings, but also shed some light on
the relevant phase transitions.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 01:40:04 GMT""},{""version"":""v2"",""created"":""Thu, 13 Nov 2008 07:19:44 GMT""},{""version"":""v3"",""created"":""Mon, 9 Mar 2009 01:35:38 GMT""}]","2009-03-17"
